3 301:1 120:1 251:1
8 463:1 409:1 182:1 91:1 256:1 412:1 264:1 440:1
2 50:1 182:1
10 322:1 7:1 313:2 149:1 286:1 164:1 173:1 264:2 266:1 91:1
17 285:1 374:2 182:1 191:1 234:1 299:2 291:1 449:1 17:1 312:1 35:1 393:2 240:1 426:1 297:1 144:1 287:1
14 68:1 270:1 182:1 458:1 49:1 299:1 291:1 329:1 95:1 386:1 349:1 165:1 440:1 461:1
9 161:1 182:1 91:1 50:1 17:1 128:1 461:1 135:1 266:1
7 376:1 355:1 392:1 127:1 244:1 372:1 287:1
18 68:1 440:1 182:1 355:1 459:1 290:1 237:1 463:2 286:1 363:1 186:1 332:1 264:2 405:1 287:1 84:1 135:1 266:1
7 120:1 338:1 385:1 251:1 199:1 24:1 412:1
14 409:1 322:1 91:1 234:1 299:1 392:1 237:2 457:1 151:1 33:1 458:1 32:1 287:1 266:1
12 395:1 202:1 91:2 229:1 378:1 192:1 427:1 188:1 448:1 404:2 135:1 297:1
15 132:1 16:1 6:1 458:1 456:1 282:1 185:1 312:1 69:1 397:1 243:1 182:1 440:1 135:1 198:1
2 100:1 415:1
16 146:1 107:1 196:1 182:2 91:1 325:1 299:1 120:2 402:1 220:1 127:1 13:1 54:1 386:1 461:1 266:1
12 146:1 246:1 176:2 147:1 72:1 384:1 105:1 286:1 47:1 299:1 198:1 178:1
9 59:1 361:1 315:1 306:1 243:1 66:1 440:1 84:1 168:1
3 147:1 269:1 240:1
9 319:1 72:1 428:1 220:1 286:1 469:1 264:1 11:1 266:1
6 329:1 182:1 91:1 270:1 458:1 401:1
10 298:1 74:1 182:1 282:1 208:1 400:1 256:1 166:1 163:1 18:1
13 245:1 414:1 126:1 55:2 269:1 463:1 36:1 100:1 45:1 452:1 356:1 52:1 355:1
15 417:1 171:1 147:1 297:2 378:1 445:1 425:1 193:1 109:1 299:2 264:1 195:1 122:1 135:1 254:1
17 175:1 471:2 352:1 91:1 366:1 419:1 208:1 299:1 247:1 268:1 71:1 41:1 388:1 225:1 5:1 440:1 236:1
4 292:1 198:1 62:1 186:1
17 282:1 34:1 177:1 169:1 281:1 451:2 149:1 333:1 224:1 339:1 369:1 61:1 458:1 283:1 173:1 27:1 73:1
6 182:1 191:1 363:1 440:1 135:1 89:1
13 374:2 270:1 239:1 458:1 149:1 220:1 50:1 286:1 100:1 15:1 264:1 106:1 135:1
8 81:1 76:1 343:1 473:1 17:1 458:1 91:1 355:1
5 270:1 221:1 299:1 264:1 440:1
8 282:1 91:1 430:1 363:1 411:1 354:1 458:1 135:1
18 241:1 245:1 182:1 91:1 301:1 382:1 112:1 71:2 327:1 300:1 17:1 100:1 314:2 454:1 264:1 297:1 52:1 177:1
13 245:1 182:1 343:1 149:1 306:1 256:1 145:1 166:1 100:1 195:1 27:1 135:1 297:1
15 353:1 182:1 355:1 436:1 224:1 113:1 261:1 419:1 50:1 129:1 448:1 221:1 472:1 135:2 198:1
19 282:1 409:1 344:1 91:1 312:2 297:1 299:1 291:1 252:1 192:1 280:1 17:1 47:1 426:1 387:1 195:1 135:1 198:1 225:1
11 107:1 29:1 355:1 88:1 251:1 1:1 301:1 50:2 386:1 182:1 265:1
2 60:1 59:1
9 417:1 115:1 156:1 174:2 460:1 226:1 138:1 47:1 332:1
19 241:1 31:1 338:1 446:1 204:1 299:2 240:1 112:1 118:1 463:1 78:1 304:1 164:1 4:1 332:1 136:1 165:1 51:1 322:1
19 298:1 374:1 425:1 245:1 264:1 131:1 310:1 247:1 171:1 112:1 220:1 159:1 301:1 100:1 458:1 119:1 80:1 135:1 198:1
