term_id,term
614,perspect
615,pick
616,pinpoint
617,place
618,plan
619,planet
620,poder
621,point
622,polic
623,polici
624,polit
625,politician
626,politico
627,poor
628,poorer
629,popul
630,por
631,pork
632,portrai
633,posit
634,poverti
635,power
636,prefabr
637,prejudic
638,present
639,presid
640,pretti
641,price
642,probabl
643,problem
644,process
645,profess
646,program
647,prolifer
648,promot
649,proper
650,protect
651,prove
652,provid
653,public
654,pue
655,pull
656,push
657,put
658,putin
659,qualiti
660,que
661,querra
662,quess
663,quit
664,r
665,race
666,racial
667,racism
668,rais
669,ramif
670,rank
671,rate
672,re
673,read
674,reailiz
675,realiz
676,realli
677,reason
678,recent
679,recess
680,recoveri
681,redact
682,redo
683,redraw
684,reestablish
685,reform
686,regain
687,relat
688,relationship
689,reli
690,religi
691,religion
692,rent
693,renter
694,repair
695,report
696,repress
697,republ
698,republican
699,resolv
700,resourc
701,respect
702,respond
703,respons
704,resses
705,rest
706,restor
707,result
708,retir
709,rf
710,rich
711,richer
712,rid
713,ridgid
714,ridicul
715,right
716,riot
717,rise
718,rivalri
719,road
720,rule
721,run
722,russia
723,s
724,safe
725,safeti
726,sage
727,salari
728,same
729,save
730,scale
731,scare
732,school
733,screw
734,se
735,sea
736,second
737,secur
738,see
739,seeker
740,seem
741,seen
742,segreg
743,self
744,selfish
745,senat
746,send
747,separ
748,seriou
749,servic
750,settl
751,sever
752,sex
753,ship
754,shld
755,shoot
756,shortag
757,shot
758,show
759,shut
760,sick
761,side
762,sign
763,singl
764,sistema
765,sister
766,situat
767,slave
768,small
769,smallest
770,social
771,socialist
772,socialsecur
773,soil
774,soldier
775,solid
776,solut
777,solv
778,someon
779,someth
780,sometim
781,sourc
782,soverignti
783,speaker
784,spend
785,spent
786,split
787,spread
788,stabil
789,staff
790,stage
791,stai
792,stand
793,standard
794,start
795,state
796,statu
797,statur
798,step
799,stick
800,still
801,stock
802,stop
803,store
804,straighten
805,street
806,strength
807,strong
808,stuck
809,stuff
810,stumbl
811,such
812,suck
813,super
814,support
815,sure
816,system
817,t
818,tack
819,take
820,taken
821,tal
822,talk
823,tax
824,telaban
825,term
826,terribl
827,terriost
828,terro9sim
829,terroist
830,terroisum
831,terror
832,terrorist
833,th4e
834,themself
835,themselv
836,theresa
837,thin
838,thing
839,think
840,those
841,though
842,thought
843,thr
844,threat
845,threaten
846,through
847,throughout
848,throw
849,thru
850,tien
851,time
852,tobacco
853,todai
854,togeth
855,told
856,took
857,top
858,totalment
859,touch
860,toward
861,track
862,tract
863,transit
864,treat
865,tremend
866,trickl
867,troop
868,true
869,trust
870,truth
871,try
872,turn
873,two
874,ty
875,type
876,u
877,u.
878,um
879,unbalanc
880,unbroken
881,uncontrol
882,understand
883,unemploy
884,unfavor
885,unilater
886,union
887,unit
888,uniti
889,univers
890,unless
891,unnecessari
892,unsustain
893,untrustworthi
894,up
895,us
896,usa
897,valu
898,veri
899,view
900,violenc
901,vision
902,viviendo
903,vote
904,voter
905,wage
906,wai
907,wall
908,want
909,wantin
910,war
911,ware
912,washington
913,wast
914,watch
915,wealth
916,weapon
917,week
918,welfar
919,well
920,went
921,whether
922,white
923,whole
924,wig
925,wise
926,wish
927,within
928,without
929,wonder
930,work
931,worker
932,world
933,worldwid
934,worri
935,wors
936,wrong
937,x
938,ya
939,yacht
940,year
941,yur
